date,day_of_week,month,year,quarter,revenue,sales,expenditure,profit,profit_margin,cumulative_revenue,cumulative_profit
2025-01-01,Wednesday,January,2025,Q1,61049,72705,46493,14556,23.84,83116191,25663811
2025-01-02,Thursday,January,2025,Q1,53804,62706,51566,2238,4.16,83169995,25666049
2025-01-03,Friday,January,2025,Q1,74748,87480,47154,27594,36.92,83244743,25693643
2025-01-04,Saturday,January,2025,Q1,41156,35989,48399,-7243,-17.6,83285899,25686400
2025-01-05,Sunday,January,2025,Q1,32316,38306,54763,-22447,-69.46,83318215,25663953
2025-01-06,Monday,January,2025,Q1,53155,44414,46858,6297,11.85,83371370,25670250
2025-01-07,Tuesday,January,2025,Q1,61199,68519,50182,11017,18.0,83432569,25681267
2025-01-08,Wednesday,January,2025,Q1,75765,66223,55387,20378,26.9,83508334,25701645
2025-01-09,Thursday,January,2025,Q1,59374,58678,49532,9842,16.58,83567708,25711487
2025-01-10,Friday,January,2025,Q1,71734,74216,49580,22154,30.88,83639442,25733641
2025-01-11,Saturday,January,2025,Q1,38898,43392,51216,-12318,-31.67,83678340,25721323
2025-01-12,Sunday,January,2025,Q1,41372,46404,58854,-17482,-42.26,83719712,25703841
2025-01-13,Monday,January,2025,Q1,63332,51942,54546,8786,13.87,83783044,25712627
2025-01-14,Tuesday,January,2025,Q1,71133,60630,53779,17354,24.4,83854177,25729981
2025-01-15,Wednesday,January,2025,Q1,61979,53298,52889,9090,14.67,83916156,25739071
2025-01-16,Thursday,January,2025,Q1,54862,61153,49641,5221,9.52,83971018,25744292
2025-01-17,Friday,January,2025,Q1,66089,66091,46954,19135,28.95,84037107,25763427
2025-01-18,Saturday,January,2025,Q1,34483,28677,49558,-15075,-43.72,84071590,25748352
2025-01-19,Sunday,January,2025,Q1,32872,34724,50099,-17227,-52.41,84104462,25731125
2025-01-20,Monday,January,2025,Q1,67708,52404,45964,21744,32.11,84172170,25752869
2025-01-21,Tuesday,January,2025,Q1,55643,47585,49630,6013,10.81,84227813,25758882
2025-01-22,Wednesday,January,2025,Q1,69412,63146,48444,20968,30.21,84297225,25779850
2025-01-23,Thursday,January,2025,Q1,58158,48069,54946,3212,5.52,84355383,25783062
2025-01-24,Friday,January,2025,Q1,52633,51989,55197,-2564,-4.87,84408016,25780498
2025-01-25,Saturday,January,2025,Q1,41355,41607,49443,-8088,-19.56,84449371,25772410
2025-01-26,Sunday,January,2025,Q1,36425,34508,46412,-9987,-27.42,84485796,25762423
2025-01-27,Monday,January,2025,Q1,59788,51752,46433,13355,22.34,84545584,25775778
2025-01-28,Tuesday,January,2025,Q1,74487,63239,54726,19761,26.53,84620071,25795539
2025-01-29,Wednesday,January,2025,Q1,65795,56435,50236,15559,23.65,84685866,25811098
2025-01-30,Thursday,January,2025,Q1,59100,72233,55024,4076,6.9,84744966,25815174
2025-01-31,Friday,January,2025,Q1,61200,55534,52160,9040,14.77,84806166,25824214
2025-02-01,Saturday,February,2025,Q1,38454,39546,45598,-7144,-18.58,84844620,25817070
2025-02-02,Sunday,February,2025,Q1,44064,34693,52238,-8174,-18.55,84888684,25808896
2025-02-03,Monday,February,2025,Q1,75592,65556,52229,23363,30.91,84964276,25832259
2025-02-04,Tuesday,February,2025,Q1,76631,80455,51496,25135,32.8,85040907,25857394
2025-02-05,Wednesday,February,2025,Q1,62655,52294,51644,11011,17.57,85103562,25868405
2025-02-06,Thursday,February,2025,Q1,69446,72581,55409,14037,20.21,85173008,25882442
2025-02-07,Friday,February,2025,Q1,65712,75538,45510,20202,30.74,85238720,25902644
2025-02-08,Saturday,February,2025,Q1,44045,51231,50389,-6344,-14.4,85282765,25896300
2025-02-09,Sunday,February,2025,Q1,35260,29392,48921,-13661,-38.74,85318025,25882639
2025-02-10,Monday,February,2025,Q1,62994,78843,53052,9942,15.78,85381019,25892581
2025-02-11,Tuesday,February,2025,Q1,75259,89353,49023,26236,34.86,85456278,25918817
2025-02-12,Wednesday,February,2025,Q1,67063,71481,50525,16538,24.66,85523341,25935355
2025-02-13,Thursday,February,2025,Q1,53337,51228,54204,-867,-1.63,85576678,25934488
2025-02-14,Friday,February,2025,Q1,76222,64539,52413,23809,31.24,85652900,25958297
2025-02-15,Saturday,February,2025,Q1,32337,30946,53966,-21629,-66.89,85685237,25936668
2025-02-16,Sunday,February,2025,Q1,40998,38399,50753,-9755,-23.79,85726235,25926913
2025-02-17,Monday,February,2025,Q1,55814,49233,49361,6453,11.56,85782049,25933366
2025-02-18,Tuesday,February,2025,Q1,52850,50035,47503,5347,10.12,85834899,25938713
2025-02-19,Wednesday,February,2025,Q1,62837,66839,46826,16011,25.48,85897736,25954724
2025-02-20,Thursday,February,2025,Q1,76487,81162,53510,22977,30.04,85974223,25977701
2025-02-21,Friday,February,2025,Q1,56663,47732,53006,3657,6.45,86030886,25981358
2025-02-22,Saturday,February,2025,Q1,33424,27986,46183,-12759,-38.17,86064310,25968599
2025-02-23,Sunday,February,2025,Q1,37166,34209,47215,-10049,-27.04,86101476,25958550
2025-02-24,Monday,February,2025,Q1,62170,72196,47361,14809,23.82,86163646,25973359
2025-02-25,Tuesday,February,2025,Q1,64908,75643,49762,15146,23.33,86228554,25988505
2025-02-26,Wednesday,February,2025,Q1,72269,76944,47361,24908,34.47,86300823,26013413
2025-02-27,Thursday,February,2025,Q1,54902,60397,52762,2140,3.9,86355725,26015553
