date,day_of_week,month,year,quarter,revenue,sales,expenditure,profit,profit_margin,cumulative_revenue,cumulative_profit
2023-01-01,Sunday,January,2023,Q1,37094,32591,56356,-19262,-51.93,36872802,11772120
2023-01-02,Monday,January,2023,Q1,51866,47670,43402,8464,16.32,36924668,11780584
2023-01-03,Tuesday,January,2023,Q1,58061,55977,44648,13413,23.1,36982729,11793997
2023-01-04,Wednesday,January,2023,Q1,43084,41259,43747,-663,-1.54,37025813,11793334
2023-01-05,Thursday,January,2023,Q1,44136,47643,43171,965,2.19,37069949,11794299
2023-01-06,Friday,January,2023,Q1,42297,42762,41123,1174,2.78,37112246,11795473
2023-01-07,Saturday,January,2023,Q1,33464,30401,42007,-8543,-25.53,37145710,11786930
2023-01-08,Sunday,January,2023,Q1,31461,28749,38482,-7021,-22.32,37177171,11779909
2023-01-09,Monday,January,2023,Q1,46129,39505,39512,6617,14.34,37223300,11786526
2023-01-10,Tuesday,January,2023,Q1,44088,46771,37198,6890,15.63,37267388,11793416
2023-01-11,Wednesday,January,2023,Q1,54001,49120,38146,15855,29.36,37321389,11809271
2023-01-12,Thursday,January,2023,Q1,60961,73993,37344,23617,38.74,37382350,11832888
2023-01-13,Friday,January,2023,Q1,58062,48052,44894,13168,22.68,37440412,11846056
2023-01-14,Saturday,January,2023,Q1,35012,33105,42499,-7487,-21.38,37475424,11838569
2023-01-15,Sunday,January,2023,Q1,36175,35737,39268,-3093,-8.55,37511599,11835476
2023-01-16,Monday,January,2023,Q1,45481,43702,39109,6372,14.01,37557080,11841848
2023-01-17,Tuesday,January,2023,Q1,53134,42454,39276,13858,26.08,37610214,11855706
2023-01-18,Wednesday,January,2023,Q1,41614,43380,72234,-30620,-73.58,37651828,11825086
2023-01-19,Thursday,January,2023,Q1,46566,51484,41269,5297,11.38,37698394,11830383
2023-01-20,Friday,January,2023,Q1,51949,53617,39497,12452,23.97,37750343,11842835
2023-01-21,Saturday,January,2023,Q1,31489,26903,37917,-6428,-20.41,37781832,11836407
2023-01-22,Sunday,January,2023,Q1,31017,26223,43704,-12687,-40.9,37812849,11823720
2023-01-23,Monday,January,2023,Q1,56187,50024,41817,14370,25.58,37869036,11838090
2023-01-24,Tuesday,January,2023,Q1,45941,47567,37509,8432,18.35,37914977,11846522
2023-01-25,Wednesday,January,2023,Q1,53206,62007,39877,13329,25.05,37968183,11859851
2023-01-26,Thursday,January,2023,Q1,47128,36816,39343,7785,16.52,38015311,11867636
2023-01-27,Friday,January,2023,Q1,43620,47699,38406,5214,11.95,38058931,11872850
2023-01-28,Saturday,January,2023,Q1,32764,29267,40255,-7491,-22.86,38091695,11865359
2023-01-29,Sunday,January,2023,Q1,29427,29419,44085,-14658,-49.81,38121122,11850701
2023-01-30,Monday,January,2023,Q1,49952,45108,45032,4920,9.85,38171074,11855621
2023-01-31,Tuesday,January,2023,Q1,48155,56611,39899,8256,17.14,38219229,11863877
2023-02-01,Wednesday,February,2023,Q1,56698,59530,38607,18091,31.91,38275927,11881968
2023-02-02,Thursday,February,2023,Q1,46885,55251,40107,6778,14.46,38322812,11888746
2023-02-03,Friday,February,2023,Q1,53991,57054,39327,14664,27.16,38376803,11903410
2023-02-04,Saturday,February,2023,Q1,35639,29748,42503,-6864,-19.26,38412442,11896546
2023-02-05,Sunday,February,2023,Q1,31902,36047,37164,-5262,-16.49,38444344,11891284
2023-02-06,Monday,February,2023,Q1,49235,49495,43497,5738,11.65,38493579,11897022
2023-02-07,Tuesday,February,2023,Q1,60691,67862,43348,17343,28.58,38554270,11914365
2023-02-08,Wednesday,February,2023,Q1,55943,59998,41729,14214,25.41,38610213,11928579
2023-02-09,Thursday,February,2023,Q1,53586,42572,43168,10418,19.44,38663799,11938997
2023-02-10,Friday,February,2023,Q1,50263,59790,38711,11552,22.98,38714062,11950549
2023-02-11,Saturday,February,2023,Q1,25102,27559,39351,-14249,-56.76,38739164,11936300
2023-02-12,Sunday,February,2023,Q1,26826,26102,37268,-10442,-38.92,38765990,11925858
2023-02-13,Monday,February,2023,Q1,50868,52828,38673,12195,23.97,38816858,11938053
2023-02-14,Tuesday,February,2023,Q1,44349,37207,37258,7091,15.99,38861207,11945144
2023-02-15,Wednesday,February,2023,Q1,52037,55602,37959,14078,27.05,38913244,11959222
2023-02-16,Thursday,February,2023,Q1,55166,49022,42880,12286,22.27,38968410,11971508
2023-02-17,Friday,February,2023,Q1,57756,55953,37588,20168,34.92,39026166,11991676
2023-02-18,Saturday,February,2023,Q1,29306,27460,37053,-7747,-26.43,39055472,11983929
2023-02-19,Sunday,February,2023,Q1,32650,38825,38049,-5399,-16.54,39088122,11978530
2023-02-20,Monday,February,2023,Q1,45753,44563,43839,1914,4.18,39133875,11980444
2023-02-21,Tuesday,February,2023,Q1,61337,74454,60863,474,0.77,39195212,11980918
2023-02-22,Wednesday,February,2023,Q1,51400,49094,38590,12810,24.92,39246612,11993728
2023-02-23,Thursday,February,2023,Q1,53015,58362,42547,10468,19.75,39299627,12004196
2023-02-24,Friday,February,2023,Q1,60445,59598,37347,23098,38.21,39360072,12027294
2023-02-25,Saturday,February,2023,Q1,28345,29191,37400,-9055,-31.95,39388417,12018239
2023-02-26,Sunday,February,2023,Q1,36352,32973,39250,-2898,-7.97,39424769,12015341
2023-02-27,Monday,February,2023,Q1,61979,63494,44257,17722,28.59,39486748,12033063
2023-02-28,Tuesday,February,2023,Q1,43430,39981,41447,1983,4.57,39530178,12035046
2023-03-01,Wednesday,March,2023,Q1,75979,69979,76013,-34,-0.04,39606157,12035012
2023-03-02,Thursday,March,2023,Q1,59860,75169,39114,20746,34.66,39666017,12055758
2023-03-03,Friday,March,2023,Q1,62066,78130,44587,17479,28.16,39728083,12073237
2023-03-04,Saturday,March,2023,Q1,36531,33696,42832,-6301,-17.25,39764614,12066936
2023-03-05,Sunday,March,2023,Q1,44814,47759,41547,3267,7.29,39809428,12070203
2023-03-06,Monday,March,2023,Q1,67739,63918,42198,25541,37.71,39877167,12095744
2023-03-07,Tuesday,March,2023,Q1,57260,49894,44214,13046,22.78,39934427,12108790
2023-03-08,Wednesday,March,2023,Q1,75634,85113,41481,34153,45.16,40010061,12142943
2023-03-09,Thursday,March,2023,Q1,65857,69374,43730,22127,33.6,40075918,12165070
2023-03-10,Friday,March,2023,Q1,60285,74994,39339,20946,34.74,40136203,12186016
2023-03-11,Saturday,March,2023,Q1,41134,43487,38394,2740,6.66,40177337,12188756
2023-03-12,Sunday,March,2023,Q1,46580,49273,41870,4710,10.11,40223917,12193466
2023-03-13,Monday,March,2023,Q1,52678,45043,37953,14725,27.95,40276595,12208191
2023-03-14,Tuesday,March,2023,Q1,68888,59502,40735,28153,40.87,40345483,12236344
2023-03-15,Wednesday,March,2023,Q1,62623,77530,44637,17986,28.72,40408106,12254330
2023-03-16,Thursday,March,2023,Q1,57273,48873,44673,12600,22.0,40465379,12266930
2023-03-17,Friday,March,2023,Q1,69884,83242,40356,29528,42.25,40535263,12296458
2023-03-18,Saturday,March,2023,Q1,44059,47432,44546,-487,-1.11,40579322,12295971
2023-03-19,Sunday,March,2023,Q1,41205,42512,37750,3455,8.38,40620527,12299426
2023-03-20,Monday,March,2023,Q1,74822,67466,44912,29910,39.97,40695349,12329336
2023-03-21,Tuesday,March,2023,Q1,71894,82554,40454,31440,43.73,40767243,12360776
2023-03-22,Wednesday,March,2023,Q1,59433,50445,44381,15052,25.33,40826676,12375828
2023-03-23,Thursday,March,2023,Q1,64053,65019,40955,23098,36.06,40890729,12398926
2023-03-24,Friday,March,2023,Q1,75252,75829,39504,35748,47.5,40965981,12434674
2023-03-25,Saturday,March,2023,Q1,45187,54343,37593,7594,16.81,41011168,12442268
2023-03-26,Sunday,March,2023,Q1,42298,37467,37601,4697,11.1,41053466,12446965
2023-03-27,Monday,March,2023,Q1,54217,60044,44841,9376,17.29,41107683,12456341
2023-03-28,Tuesday,March,2023,Q1,66308,52426,39600,26708,40.28,41173991,12483049
2023-03-29,Wednesday,March,2023,Q1,56215,49521,37275,18940,33.69,41230206,12501989
2023-03-30,Thursday,March,2023,Q1,139521,123654,44214,95307,68.31,41369727,12597296
2023-03-31,Friday,March,2023,Q1,52317,52260,43468,8849,16.91,41422044,12606145
2023-04-01,Saturday,April,2023,Q2,65906,69784,40473,25433,38.59,41487950,12631578
2023-04-02,Sunday,April,2023,Q2,35538,38562,38555,-3017,-8.49,41523488,12628561
2023-04-03,Monday,April,2023,Q2,61074,49960,41589,19485,31.9,41584562,12648046
2023-04-04,Tuesday,April,2023,Q2,54280,48048,38176,16104,29.67,41638842,12664150
2023-04-05,Wednesday,April,2023,Q2,70196,72674,44768,25428,36.22,41709038,12689578
2023-04-06,Thursday,April,2023,Q2,52931,57577,44205,8726,16.49,41761969,12698304
2023-04-07,Friday,April,2023,Q2,73926,60882,37854,36072,48.79,41835895,12734376
2023-04-08,Saturday,April,2023,Q2,37654,32315,37331,323,0.86,41873549,12734699
2023-04-09,Sunday,April,2023,Q2,39451,33682,41808,-2357,-5.97,41913000,12732342
2023-04-10,Monday,April,2023,Q2,63103,70154,41565,21538,34.13,41976103,12753880
